員唄员呗
己已巳
暈暉晕晖
景晾
群羣
口〇
棘棗
只叭
峨峩
郎郞
姬姫
行彳
峰峯
旭旮
辵辶
旱旰
隱隠
穩穏
單嘽
毗毘
錫锡
崖崕
嶋嶌
匚匸
翌翋
熙煕
晃晄
旻旼
玉玊
仞仭
囊嚢
堯墝
岌岋
脧朘
瑟璱
朏胐
鵝鹅鵞
嵇嵆
柬柶
劒剱劔
宦宧
岝岞
岑岒
靭靱
泵砅
易昒
峗峞
埒埓
咡咠
鬙鬠
杠杢
朐胊
嵜﨑
柤査
崳嵛
崳嵛
嵒喦
線缐
嬃媭
箚劄
廎庼
殼殻
楺楙
現现
說説说
項项
長长
标柰
橫横
龍龙
頁页
車车
暫暂
軌轨
軟软
齒齿歯
嗎吗
敗败
內内
見见
賠赔
順顺
們们
領领
鎮镇
須须
鉆钻
鉄铁
鉻铬
脹胀
膩腻
魚鱼
鳥鸟
調调
訴诉
設设
該该
聞闻
閉闭
問问
間间
門门
測测
寛宽
軍军
馬马
頗颇
騙骗
張张
費费
紅红
純纯
細细
組组
統统
編编
頇顸
頂顶
鵡鹉
殞殒
頡颉
趲趱
輦辇
規规
頑顽
頬颊
瓏珑
頊顼
璉琏
瓔璎
責责
靚靓
瑪玛
攏拢
損损
攢攒
捫扪
擱搁
撹搅
揮挥
萇苌
蘢茏
載载
蓮莲
顴颧
驀蓦
貰贳
顛颠
莧苋
蔦茑
藹蔼
藺蔺
葷荤
葯药
棖枨
顬颥
櫳栊
槤梿
賈贾
梘枧
櫓橹
碩硕
硨砗
厠厕
硯砚
壟垄
礱砻
讋詟
贋赝
襲袭
碼码
軒轩
轅辕
貳贰
輒辄
連连
軋轧
輔辅
頤颐
輊轾
輯辑
匱匮
軹轵
軸轴
輥辊
輞辋
輇辁
塹堑
鏨錾
鴉鸦
較较
轍辙
轆辘
轔辚
轄辖
輾辗
軺轺
軔轫
頓顿
輜辎
齜龇
頻频
貞贞
蜆蚬
齡龄齢
貲赀
齷龌
螞蚂
貴贵
嘖啧
躪躏
嚨咙
嚙啮噛
顎颚
圓圆
鄖郧
躦躜
鵑鹃
嚕噜
鳴鸣
喲哟
題题
顆颗
曨昽
輝辉
輩辈
鴨鸭
晛𬀪
賞赏
賦赋
賕赇
帳帐
賬账
幘帻
財财
巔巅
賻赙
顓颛
矓眬
賄贿
鴦鸯
賊贼
嶄崭
貼贴
幀帧
貺贶
賜赐
睍𪾢
嬰婴
貝贝
賭赌
則则
賂赂
罰罚
賍赃
贈赠
賺赚
岂屺
籠笼
鵠鹄
筧笕
頽颓
贊赞
簡简
篤笃
倀伥
債债
僨偾
鵂鸺
貸贷
輿舆
偵侦
側侧
俔伣
賃赁
傾倾
貨货
儲储
鷦鹪
龕龛
餌饵
饃馍
餑饽
弒弑
飩饨
銜衔
饋馈
餛馄
飪饪
飫饫
餓饿
飾饰
飭饬
餉饷
餿馊
餒馁
飢饥
餡馅
飲饮
餾馏
飽饱
頷颔
貪贪
餅饼
饈馐
館馆
蝕蚀
飼饲
頒颁
貧贫
頌颂
飴饴
鈃钘
釘钉
銬铐
鍺锗
銠铑
鋳铸
鉺铒
錆锖
鈺钰
鉗钳
針针
鈷钴
錯错
鑊镬
鉢钵
鋪铺
鐳镭
鉥𬬸
錛锛
銪铕
钛鈦
鐐镣
銍铚
釴𬬩
鋮铖
鋱铽
鏈链
鉅钜
鉞钺
釙钋
銦铟
錮锢
鋗𫓶
鉭钽
鋰锂
錁锞
鈿钿
鎖锁
鈔钞
銷销
鏷镤
鏜镗
銅铜
鈉钠
鋇钡
鉬钼
鋤锄
鋯锆
鍾锺
鍤锸
銑铣
鍬锹
銹锈
鍛锻
鍠锽
釧钏
鎳镍
錐锥
鉑铂
錦锦
銓铨
釿𬬱
銼锉
鈐钤
鈴铃
鍰锾
釤钐
釩钒
鋒锋
銘铭
鉚铆
欽钦
釣钓
鈎钩
鋅锌
鏡镜
鈰铈
銥铱
鎊镑
鋃锒
鈁钫
鍍镀
鑭镧
鍆钔
鐮镰
鎂镁
銳鋭锐
鐠镨
鈥钬
錟锬
銻锑
銚铫
錠锭
鉍铋
鋸锯
鈹铍
銀银
鈮铌
釵钗
鉊𬬿
錳锰
鐨镄
釕钌
鍵键
銣铷
錙锱
釹钕
鉧𬭁
朧胧
狽狈
鵬鹏
鳩鸠
獄狱
鰧䲢
騰腾
鯁鲠
鮃鲆
鮭鲑
鮚鲒
鯪鲮
鰭鳍
鰆䲠
鯖鲭
鯫鲰
鱝鲼
鰈鲽
鴇鸨
鰳鳓
鱈鳕
鮞鲕
頃顷
魷鱿
鱖鳜
鰱鲢
鮎鲇
鯝鲴
鯉鲤
鯡鲱
鯧鲳
鯤鲲
魯鲁
鰓鳃
鰨鳎
鯛鲷
鮦鲖
鰥鳏
島岛
負负
觯觶
穌稣
穎颖
鰍鳅
鯀鲧
鰉鳇
鮒鲋
鯢鲵
鳧凫
鮑鲍
魴鲂
鮮鲜
鱒鳟
鱗鳞
鱔鳝
鯇鲩
鴕鸵
鯽鲫
魛鱽
鴛鸳
烏乌
梟枭
鮐鲐
訏𬣙
訂订
訶诃
評评
詿诖
詩诗
訌讧
詰诘
諸诸
誣诬
誄诔
請请
諏诹
討讨
計计
謀谋
諜谍
諾诺
詁诂
謊谎
諲𬤇
譚谭
諫谏
諑诼
詼诙
試试
誆诓
誡诫
訝讶
譖谮
誠诚
詎讵
訃讣
謔谑
顫颤
贏赢
誹诽
課课
謖谡
誚诮
謂谓
詛诅
詗诇
詷𫍣
訕讪
訥讷
許许
話话
誥诰
誅诛
顔颜
誘诱
誨诲
訓训
誰谁
譙谯
詮诠
讖谶
診诊
詬诟
訢䜣
謡谣
誑诳
頏颃
詭诡
詢询
詣诣
諂谄
諧谐
諒谅
諳谙
諺谚
辯辩
諦谛
謗谤
訪访
斕斓
詳详
謚谥
談谈
謎谜
謙谦
諢诨
譴谴
誼谊
詫诧
訣诀
詖诐
誦诵
詞词
訊讯
詔诏
誕诞
訒讱
記记
詒诒
頦颏
辮辫
閨闺
閆闫
馮冯
闌阑
庫库
閹阉
龐庞
閾阈
閫阃
閘闸
閶阊
閂闩
閏闰
閑闲
閩闽
誾訚
闖闯
閥阀
閃闪
閿阌
閻阎
癬癣
閌闶
閡阂
閱閲阅
闊阔
悶闷
闋阕
癮瘾
悵怅
鯗鲝
憤愤
煩烦
慚惭
憫悯
燜焖
惲恽
鵜鹈
慣惯
鴻鸿
漬渍
瀧泷
漸渐
漣涟
湞浈
浿𬇙
漁渔
潤润
瀾澜
澗涧
渾浑
覚觉
漲涨
濰潍
賽赛
騫骞
寵宠
禎祯
遺遗
視视
鶴鹤
額额
禡祃
褲裤
騞𬴃
驟骤
騏骐
騎骑
馱驮
駆驱
駰骃
駛驶
騑𬴂
騍骒
