姫姬
隠隱
穏穩
徴徵
毘毗
嚢囊
査柤
殻殼
柰标
横橫
弑弒
鵆鸻
堕墮
戸戶户
亜亞亚
悪惡恶
唖啞哑
歯齒齿
齢齡龄
噛嚙啮
訰𧦖
説說说
閲閱阅
税稅
脱脫
鋭銳锐
悦悅
数數
楼樓
倶俱
済濟济
斎齋
斉齊齐
擠挤
霽霁
躋跻
儕侪
臍脐
剤劑剂
薺荠
蠐蛴
韲齏齑
隮𬯀
𩵃𩴚
𪯼𬀛
荘莊
装裝
状狀
壮壯
妝妆
寝寢
兎兔
縄繩绳
竃竈
蝿蠅蝇
晩晚
亀龜龟
値值
毎每
薫薰
晩晚
痩瘦
捜搜
拝拜
葱蔥
壺壷壼壸
聡聪
鰻鳗
癲癫
闐阗
資资
鈞钧
鏝镘
呈㕵
縵缦
謾谩
鰩鳐
縝缜
饅馒
覷觑
