人	人入
糸匕匕	紕纰
糸衣口甘	纕𬙋
糸亠冂口	縞缟
糸亠口子	綧𬘯
糸衣口一	縗缞
糸立日心	繶𫄷
糸亠冂厶	縭缡
糸亠八乂	絞绞
糸亠冖巾	締缔
糸䒑八皿	縊缢
糸禾禾彐	縑缣
糸半卩	綣绻
糸弋弓	綈绨
糸宀由八	縯𬙂
糸冖儿	紞𬘘
糸又又又	綴缀
糸巳七日	緡缗
糸廴亻土	綎𬘩
糸习人彡	繆缪
糸巛田	緇缁
糸屮凵	絀绌
木刂丶見	榄𬄦
糸口八	织𥿗
木馬	榪杩
雨氵丿士	霪䨙
雨氵工一	霪䨙
魚人二厶	𩷆鲙
口口一戈	戰𡃹
艹廿冖巾	蔕𦷾
艹魚禾大	𡚡𫰅
魚由	鮋鲉
糸三田田	繮缰
牛口	告吿
金尸目	鎇镅
日耂	暑暏
氵宀皿丁	濘𬈿
厂車	厙厍
土火見	𧹦䚂
八刀又貝	𪬼𫎤
小冂口	尚尙
巴土八夂	𪩮𱜞
巴土儿夂	𪩮𱜞
木門一廾	𣛣𬂻
扌宀皿丁	擰𢴕
氵廿冖巾	滯𣻉
羊大乚木	𫅠𬙾
匕匕	比𫧇
月門十丿	𦟼𫆝
扌丸	执𢩾
山鬼	嵬㟴
口巾	吊𫩒
艮旡木	槩㮣
竹八田土	𨤰𫒂
𠂊小田土	𨤰𫒂
𠂉小田土	𨤰𫒂
口口一丂	咢㗁
鳥艹隹又	鸌鹱
金月穴工	𨭒𨭏
土尹口羊	𡑳𡑱
口艹夂口	𠺴𡀩
土厶衤甫	𠬖𠬕
子瓜鳥	𪂮𪂲
扌魚日	擼撸
口門木四	㘓𪢌
艹四冖又	蘉𦴋
矢一䒑艮	𥐇𬑶
氵艹冖巾	滞𤀐
亻户小丿	𪝹𫣪
扌日	抇𢪏
木豕	椓㭬
四土亼㇕	黔𪑑
厶人下	𠀳𫠪
口禾彐心	𡅯𪢖
习习立申	𫅮𫅲
金口王	鋥锃
糸亠口小	綡𫟅
車卜尸	𨋤轳
小門十丿	𡮣𡭬𡮥
車田夂口	𨎟𫏾
王廾心	𢚸𪫵
羊大日一	𦏄𫅝
王亠冖巾	𤧛𪼀
人水	汆氽
几二月刂	𩙌𬲂
几二月巛	𩙌𬲂
山𠂉乙	屹𪨣
口耳戈	戢𠺵
扌日甘衤	𢺖𱠻
長彡斤廾	鬓鬂
艹宀皿丁	薴𬞊
户艹廾	𢩉𫼌
艹木口	莕𫇿
士冖殳心	慤愨
扌匕匕	批𢪲
王廾十又	𪔠𲎚
田木𠂊貝	𣡙𣡚
田木刀貝	𣡙𣡚
日卜尸	𣆐𬀭
口艹木四	囒𪢠
日豕耂	𣌁𣌂
門月	閒𫔮
山兀	屼𡵉
日一丂	𣅙𣅘
金廿由八	鐄𨱑
扌业羊寸	𣝉𢷮
口艹口䒑	𠻼𡃻
𠂉木亼冊	𣘈𣜱𪳔
亼冊口貝	𡃋𫭕
爪	爪𫜵
几二之艮	𫗂𫗁
四厶匕匕	罷𠤩
火日甘衤	𪹷𬋟
口一夕刂	咧𡂲
一木頁圍	𬰠𩈘
大八鳥	鵉𪁂鸾
日广卜口	𣈔𣈘
山日冂厶	嵎𡺥
艹虎一丂	𧃷𬞲
一夕丿皿	殈𬠼
禾厶卜貝	𥢅𥢆
長彡人人	鬗𩯮
月日甘衤	𣎦𦣙
土巳	圯圮𡉏
貝刂寸	𫴯𡬷
金艹廾	鉷𫟹
氵魚日	瀂澛
禾禾立立	𫡁𫡂
門小	𡮉𡭜𨳒
几二刂心	𫗄𫗃
几二巛心	𫗄𫗃
門文キ	𫔳𫔤
户氏	𬇋𣱆
足艹人人	蹒𨅼
尸毛田凵	𡳒𤳰
尸毛由凵	𡳒𤳰
𠂊用八夂	𧤁𧤸
𠂊用儿夂	𧤁𧤸
尸丶耂阝	𡳤𡳢
女厶四貝	𡤓𪦲
厶口亻弋	𠳙𫢼
亻木一見	𧡊𫌠
爿心	𬌔𬌓
扌丿尸丶	𡱩𢭑
火火冖力	勞𤏪
人王亼冊	𠓹𠓻𫤍
魚卜尸	𫙔鲈
夕卜人土	𡎥𫮋
山亠口小	𡹞𡹡
口王	呈㕵
亻八之艮	𠑉𫤈
火門亠巾	𤐛𬊢
門十丿小	𫴼𡮤
一止冂口	𣦎𬆈
艹門木四	蘭𬞕
几言十	𧦔𪞴
人人夕卜	𡎢𡎦
口土卩又	𠼶𠾷
口口耳攵	嚴㘙
風之艮	𩘬𩘩
門一廾	開𫔭
土火耂見	𬦄𧺃
金魚日	鑥镥
金尸㇕口	鋦锔
户习㇕大	𦑗𬚇
矢一口䒑	短𥐍
丿皿卯	𧖰𧖱
木艹木四	欗𬅉
日行亼木	𣉹𬁊
日犭耂	𬁑𪱂
口皿	𠰘𠱄
木口欠	欶𣒱
小門心	𡮮𡮬
卜口刀	𠛤𪟂
刀鳥	鳭𠟀
犭宀皿丁	獰𤡛
田土火火	𨤮𨤵
木艹丶皿	𣞎𣠩
日十十月	𣋂𣊿
氵口貝	溳涢
亼月几二	𫖾𬲇
一巾	巿帀
日牛巾刂	𪰮㫼
木十日一	𬃱𬄮
氵風	渢沨
風	風风
山風	嵐岚
立風	颯飒
月儿⺍	朓脁
亻一人人	倆俩
車一人人	輛辆
日	日曰
户	戸戶户
士冖亞	壺壸壼
穴夫見	窺窥
扌夫夫車	攆撵
金夫	鈇𫓧
亞	亜亞亚
亞心	悪惡恶
口亞	唖啞哑
艹咼	萵莴
虫咼	蝸蜗
金咼	鍋锅
氵咼	渦涡
示咼	禍祸
女咼	媧娲
土咼	堝埚
咼	咼呙
穴咼	窩窝
申	申电
金口口	鋁铝
口口口	品𠴊
口口巴	唈𫶷
亞土	堊垩
女亞	娅婭
示一口田	福福
示申	神神
示羊	祥祥
木亞	椏桠
口亞心	噁𫫇
气亞	氬氩
一夕非一	殲殱
爲	為爲为
艹爲	蒍蔿𫇭
亻爲	偽僞伪
氵爲	溈潙沩
女爲	媯妫
扌爲	撝㧑
舟皿八夂	𥃑𪾝
糸糸	絲丝
糸糸鳥	鷥鸶
夕卩	夗夘
言丿屮	訰𧦖
厂日厶口	𠫆𪠗
禾八口儿	税稅
月八口儿	脱脫
虫八口儿	蛻蜕
八口儿	兌兑
心八口儿	悦悅
木八口儿	梲棁
亡心口月	𫡾𫺴
氵婁	漊溇
婁攵	数數
耒婁	耬耧
扌婁	摟搂
木婁	楼樓
口婁	嘍喽
骨婁	髏髅
竹婁	簍篓
亻婁	僂偻
金婁	鏤镂
婁	婁娄
尸行婁	屨屦
尸婁	屢屡
土婁	塿𪣻
扌婁攵	擻擞
艹婁	蔞蒌
艹婁攵	藪薮
虫婁	螻蝼
山婁	嶁嵝
目婁	瞜䁖
月婁	膢𦝼
疒婁	瘻瘘
穴婁	窶窭
衤婁	褸褛
糸婁	縷缕𫃵
長彡婁	𩯁𫙂
尸婁丨日	𱿈𡳵
糸尸婁	𫄎𫄄
婁車	𬧻𫏻
口婁攵	𡂡𪢒
牛婁	𤛠𬌥
亻目廾	倶俱
氵齊	済濟济
齊示	斎齋
齊	斉齊齐
扌齊	擠挤
雨齊	霽霁
足齊	躋跻
亻齊	儕侪
月齊	臍脐
齊刂	剤劑剂
艹齊	薺荠
虫齊	蠐蛴
齊非一	韲齏齑
阝齊	隮𬯀
鬼齊示	𩵃𩴚
方齊	𪯼𬀛
卯貝	貿贸
艹爿士	荘莊
爿士衣	装裝
爿犬	状狀
爿士	壮壯
爿女	妝妆
宀爿冖又	寝寢
廾	丌廾
一廾	亓开
冊	冊册
木冊	柵栅
冊刂	刪删
女冊	姍姗
竹亼刂心	𪬪𬕷
竹女又	笯𪥯
竹亼巛心	𪬪𬕷
爿	片爿
爿釆田	𤗹𬌌
尤	尤尢
糸黽	縄繩绳
穴土黽	竃竈
虫黽	蝿蠅蝇
黽	黽黾
氵黽	澠渑
一兀黽	黿鼋
口口一黽	鼉鼍
黽阝	鄳𫑡
亻黽	僶𠊟
日召儿	晩晚
金𠂊尹	錚铮
齒工㇕口	齬龉
言工㇕口	語语
金工㇕口	鋙铻
木木工㇕	𬃂𬂽
齒二乂口	齬龉
言二乂口	語语
金二乂口	鋙铻
木木二乂	𬃂𬂽
龜	亀龜龟
亻十目	値值
足	足疋
言足月	諝谞
足日一	疍𨀏
齒亼卩	齢齡
乚凵艮阝	郷鄉
馬由丂	騁骋
半巳	𫧟巻
金手戈	鋨锇
車弋工	軾轼
立立	並竝
匚コ𠂊貝	𢀲𱜝
匚コ刀貝	𢀲𱜝
