人	人入
食艹日大	饃馍
食十冖子	餑饽
乂木弋工	弑弒
食一屮	飩饨
行金	銜衔
食中一貝	饋馈
食日匕匕	餛馄
食丿士	飪饪
食丿大	飫饫
食手戈	餓饿
食𠂉巾	飾饰
食𠂉力	飭饬
食宀口	餉饷
食臼丨又	餿馊
食𠂆又	飯饭
食爪女	餒馁
食几	飢饥
食𠂊臼	餡馅
食欠	飲饮
食卯田	餾馏
食勹巳	飽饱
亼㇕口頁	頷颔
亼㇕貝	貪贪
食䒑廾	餅饼
食羊彐丨	饈馐
食宀㠯	館馆
食虫	蝕蚀
食㇕一口	飼饲
八刀頁	頒颁
八刀貝	貧贫
八厶頁	頌颂
食厶口	飴饴
金一廾	鈃钘
金丁	釘钉
金耂丂	銬铐
金耂	鍺锗
金耂匕	銠铑
金丰寸	鋳铸
金耳	鉺铒
金丰月	錆锖
金王丶	鈺钰
金甘	鉗钳
金十	針针
金十口	鈷钴
金廿日	錯错
金艹隹又	鑊镬
金木一	鉢钵
金甫	鋪铺
金雨田	鐳镭
金木丶	鉥𬬸
金大十艹	錛锛
金𠂇月	銪铕
金大丶	钛鈦
金一日小	鐐镣
金犬㇕	鈸钹
金至	銍铚
金弋	釴𬬩
金戊㇕	鋮铖
金弋心	鋱铽
金之車	鏈链
金匚コ	鉅钜
金戈乚	鉞钺
金卜	釙钋
金圍大	銦铟
金圍十口	錮锢
金口月	鋗𫓶
金日一	鉭钽
金田土	鋰锂
金刂	釗钊
金田木	錁锞
金田	鈿钿
金小貝	鎖锁
金小丿	鈔钞
金小月	銷销
金业半大	鏷镤
金小口土	鏜镗
金冂一口	銅铜
金冂人	鈉钠
金貝	鋇钡
金目	鉬钼
金且力	鋤锄
金牛口	鋯锆
金千日土	鍾锺
金千臼	鍤锸
金牛儿	銑铣
金禾火	鍬锹
金禾㇕丿	銹锈
金厂三殳	鍛锻
金白王	鍠锽
金川	釧钏
金自木	鎳镍
金隹	錐锥
金白	鉑铂
金白巾	錦锦
金人王	銓铨
金斤	釿𬬱
金人人土	銼锉
金亼㇕	鈐钤
金亼龴	鈴铃
金爪𠂇又	鍰锾
金彡	釤钐
金𠂆又	鈑钣
金凡	釩钒
金几口	鉛铅
金夂丰	鋒锋
金夕口	銘铭
金卯	鉚铆
金欠	欽钦
金勹丶	釣钓
金勹冫	鈞钧
金勹厶	鈎钩
金辛	鋅锌
金立日儿	鏡镜
金亠巾	鈰铈
金衣	銥铱
金亠冖方	鎊镑
金丶艮	鋃锒
金方	鈁钫
金广廿又	鍍镀
金門木四	鑭镧
金門	鍆钔
金广禾彐	鐮镰
金羊大	鎂镁
金八口儿	鋭銳锐
金立立日	鐠镨
金火	鈥钬
金火火	錟锬
金弋弓	銻锑
金儿⺍	銚铫
金宀一止	錠锭
金弋八	鉍铋
金尸十口	鋸锯
金皮	鈹铍
金艮	銀银
金尸匕	鈮铌
金又丶	釵钗
金召	鉊𬬿
金子皿	錳锰
金弓刂貝	鐨镄
金了	釕钌
金廴彐キ	鍵键
金女口	銣铷
金巛田	錙锱
金女	釹钕
金母	鉧𬭁
月龍	朧胧
犭貝	狽狈
風目廾	颶飓
風臼丨又	颼飕
風勹巳	颮飑
月月鳥	鵬鹏
九鳥	鳩鸠
犭言犬	獄狱
月半魚	鰧䲢
月半馬	騰腾
魚一日乂	鯁鲠
魚干八	鮃鲆
魚土土	鮭鲑
魚士口	鮚鲒
魚土八夂	鯪鲮
魚耂匕日	鰭鳍
魚丰日	鰆䲠
魚丰月	鯖鲭
魚耳又	鯫鲰
魚十艹貝	鱝鲼
魚廿乚木	鰈鲽
匕十鳥	鴇鸨
魚革力	鰳鳓
魚雨彐	鱈鳕
魚而	鮞鲕
匕頁	頃顷
魚𠂇月	鮪鲔
魚尤	魷鱿
魚厂屮欠	鱖鳜
魚之車	鰱鲢
魚卜口	鮎鲇
魚圍十口	鯝鲴
魚田土	鯉鲤
魚非	鯡鲱
魚日日	鯧鲳
魚日四又	鰻鳗
魚日匕匕	鯤鲲
魚日	魯鲁
魚田心	鰓鳃
魚日习习	鰨鳎
魚用口	鯛鲷
魚冂一口	鮦鲖
魚四水	鰥鳏
鳥山	島岛
𠂊貝	負负
𠂊用甲一	觯觶
魚禾	穌稣
匕禾頁	穎颖
魚禾火	鰍鳅
魚丿糸	鯀鲧
魚白王	鰉鳇
魚亻寸	鮒鲋
魚臼儿	鯢鲵
魚爪午凵	鰩鳐
鳥几	鳧凫
魚勹巳	鮑鲍
魚方	魴鲂
魚羊	鮮鲜
魚八酉寸	鱒鳟
魚米夕㐄	鱗鳞
魚羊䒑口	鱔鳝
魚宀一兀	鯇鲩
鳥宀匕	鴕鸵
魚艮卩	鯽鲫
魚刀	魛鱽
夕卩鳥	鴛鸳
烏	烏乌
鳥木	梟枭
魚厶口	鮐鲐
言丁一	訏𬣙
言丁	訂订
言丁口	訶诃
言干八	評评
言土土	詿诖
言土寸	詩诗
言工	訌讧
言士口	詰诘
言耂	諸诸
言工人人	誣诬
言耒	誄诔
言丰月	請请
言耳又	諏诹
言寸	討讨
言十	計计
言甘木	謀谋
言廿乚木	諜谍
言艹𠂇口	諾诺
言十口	詁诂
言艹亡川	謊谎
言甘匚八	諶谌
言西土	諲𬤇
言西日十	譚谭
言木四	諫谏
言豕	諑诼
言𠂇火	詼诙
言弋工	試试
言匚王	誆诓
言戈廾	誡诫
言牙	訝讶
言旡旡日	譖谮
言戊㇕	誠诚
言匚コ	詎讵
言卜	訃讣
言虎匚一	謔谑
言口一大	誤误
亠圍一頁	顫颤
亡口貝凡	贏赢
言非	誹诽
言田木	課课
言日四又	謾谩
言田八夂	謖谡
言小月	誚诮
言田月	謂谓
言且	詛诅
言冂口	詗诇
言冂一口	詷𫍣
言山	訕讪
言冂人	訥讷
言午	許许
言舌	話话
言牛口	誥诰
言𠂉木	誅诛
立丿彡頁	顔颜
言禾㇕丿	誘诱
言𠂉母	誨诲
言川	訓训
言隹	誰谁
言隹火	譙谯
言亼月刂	諭谕
言人王	詮诠
言人非一	讖谶
言人彡	診诊
言𠂆一口	詬诟
言斤	訢䜣
言爪午凵	謡谣
言犭王	誑诳
亠几頁	頏颃
言風	諷讽
言𠂊厂卩	詭诡
言勹日	詢询
言匕日	詣诣
言𠂊臼	諂谄
言匕匕白	諧谐
言氏丶	詆诋
言𠂊尹	諍诤
言亠口小	諒谅
言立日	諳谙
言立丿彡	諺谚
辛言辛	辯辩
言亠冖巾	諦谛
言亠冖方	謗谤
言方	訪访
文門木四	斕斓
言羊	詳详
言䒑八皿	謚谥
言火火	談谈
言之米	謎谜
言禾禾彐	謙谦
言冖車	諢诨
言之一㠯	譴谴
言宀且	誼谊
言宀丿七	詫诧
言㇕大	訣诀
言皮	詖诐
言龴用	誦诵
言㇕一口	詞词
言乙十	訊讯
言召	詔诏
言廴丿止	誕诞
言刀丶	訒讱
言巳	記记
言厶口	詒诒
亠凵人頁	頦颏
辛糸辛	辮辫
門土土	閨闺
門三	閆闫
冫馬	馮冯
疒木𠂊貝	癩癞
門木四	闌阑
广車	庫库
門大申	閹阉
广龍	龐庞
門戈口一	閾阈
門圍木	閫阃
門甲	閘闸
門日日	閶阊
門一	閂闩
門王	閏闰
門木	閑闲
門虫	閩闽
門言	誾訚
門馬	闖闯
門亻戈	閥阀
門人	閃闪
門爪冖又	閿阌
疒風	瘋疯
冫欠貝	資资
門𠂊臼	閻阎
疒魚羊	癬癣
門亠几	閌闶
門亠凵人	閡阂
門八口儿	閲閱阅
門氵舌	闊阔
門心	悶闷
門癶一大	闋阕
門㇕耳攵	闞阚
疒阝彐心	癮瘾
心長	悵怅
羊魚	鯗鲝
心十艹貝	憤愤
心木𠂊貝	懶懒
火頁	煩烦
心車斤	慚惭
心門文	憫悯
火門心	燜焖
心冖車	惲恽
弋弓鳥	鵜鹈
心母貝	慣惯
氵工鳥	鴻鸿
氵丰貝	漬渍
氵龍	瀧泷
氵車斤	漸渐
氵之車	漣涟
氵卜貝	湞浈
氵貝	浿𬇙
氵魚	漁渔
氵門王	潤润
氵門木四	瀾澜
氵門日	澗涧
氵冖車	渾浑
⺍冖見	覚觉
氵弓長	漲涨
氵糸隹	濰潍
宀甘八貝	賽赛
宀甘八馬	騫骞
宀龍	寵宠
示卜貝	禎祯
之中一貝	遺遗
示見	視视
冖隹鳥	鶴鹤
宀夂口頁	額额
示馬	禡祃
衤广車	褲裤
馬丰石	騞𬴃
馬耳又亻	驟骤
馬甘廾	騏骐
馬大丁口	騎骑
馬大	馱驮
馬匚乂	駆驱
馬圍大	駰骃
馬口乂	駛驶
馬非	騑𬴂
馬田木	騍骒
馬田糸	騾骡
馬且	駔驵
馬冂口	駉𬳶
馬四	駟驷
馬川	馴驯
馬隹	騅骓
馬囟夂心	驄骢
馬乂乂	駁驳
馬勹口	駒驹
馬夂口	駱骆
馬卯田	騮骝
馬丶王	駐驻
馬辛	騂骍
馬衣口甘	驤骧
馬亠凵人	駭骇
馬北艹廾	驥骥
馬䒑廾	駢骈
馬宀匕	駝驼
馬户习习	騸骟
予頁	預预
馬又	馭驭
馬馬馬	驫骉
馬尸子子	驏骣
馬也	馳驰
馬厶口	駘骀
馬厶八夂	駿骏
阝龍	隴陇
阝車	陣阵
力口貝	賀贺
力口馬	駕驾
糸丁一	紆纡
糸士口	結结
糸耂	緒绪
糸土八夂	綾绫
糸二厶	紜纭
糸丰月	綪𬘬
糸丰阝	綁绑
糸寸	紂纣
糸甘	紺绀
糸革	緙缂
糸廿乚	紲绁
糸甫寸	縛缚
糸木木	綝𬘭
糸木目	緗缃
糸辰寸	縟缛
糸頁圍	緬缅
糸戊一口	緘缄
糸至	絰绖
糸卜日十	綽绰
糸口耳	緝缉
糸圍大	絪𬘡
糸口月	絹绢
糸非	緋绯
糸日四又	縵缦
糸小丿	紗纱
糸小月	綃绡
糸日一止	緹缇
糸田糸	縲缧
糸用口	綢绸
糸冂口	絅䌹
糸貝貝女	纓缨
糸冂人	納纳
糸丿士	紝纴
糸牛儿貝	纘缵
女馬	媽妈
糸禾㇕丿	綉绣
糸厂三殳	緞缎
糸川	紃𬘓
糸隹	維维
糸白巾	綿绵
糸白方攵	繳缴
糸亼口	給给
糸人二厶	絵绘
糸行	絎绗
糸八刀	紛纷
糸爪𠂇又	緩缓
糸爪女	綏绥
糸丸	紈纨
糸氏	紙纸
糸夂卜口	綹绺
糸夂口	絡络
糸勹日	絢绚
糸勹丶	約约
糸夂冫	終终
糸𠂊巴	絶绝
糸文	紋纹
糸方	紡纺
女門木	嫻娴
糸半	絆绊
糸八四日	繒缯
糸羊䒑口	繕缮
糸米乚	継继
糸宀示	綜综
糸宀一止	綻绽
糸宀一白	縮缩
糸之夂丰	縫缝
糸宀㠯	綰绾
糸彐丨	紐纽
糸彐水	緑绿
糸予	紓纾
糸弓丨	紖纼
糸召	紹绍
母貝	貫贯
糸𠂊又	級级
糸弓刂	紼绋
糸刀丶	紉纫
糸巳	紀纪
糸彑豕	緣缘
糸凵	糾纠
糸厶口	紿绐
糸巛田木	繅缫
一口丁鳥	鷊鹝
一夕甲一	殫殚
一夕刂鳥	鴷䴕
工貝	貢贡
工人人見	覡觋
工人人鳥	鵐鹀
土口貝	塤埙
土火卜貝	赬赪
土烏	塢坞
士冖車殳	轂毂
耳中一貝	聵聩
丰貝力	勣𪟝
丰力攵貝	贅赘
丰力攵魚	鰲鳌
丰力攵馬	驁骜
丰月鳥	鶄䴖
王小貝	瑣琐
王牛儿貝	瓚瓒
王爪𠂇又	瑗瑷
王冖車	琿珲
扌士口頁	擷撷
扌貝貝女	攖撄
扌金欠	撳揿
扌鳥山	搗捣
扌母貝	摜掼
廿口丰見	覲觐
