的	白勹丶
情	心丰月
肉	䏑
需	雨而
七	七
論	言亼冊
流	氵亠厶川
招	扌召
痛	疒龴用
列	一夕刂
石	石
香	禾日
封	土土寸
眼	目艮
易	日勿
冷	冫亼龴
借	亻廿日
派	氵𠂆亻
帥	丿㠯巾
付	亻寸
十	十
陽	阝日一勿
樹	木士口䒑寸
油	氵由
胡	十口月
排	扌非
停	亻亠口冖丁
合	亼口
軍	冖車
身	身
奧	宀釆大
章	立日十
科	禾冫十
星	日生
翻	釆田习习
場	土日一勿
帖	巾卜口
商	亠八冂儿口
庫	广車
價	亻西貝
物	牛勿
泡	氵勹巳
玉	王丶
追	之丿㠯
傷	亻𠂉日一勿
背	北月
劍	亼口口人人刂
解	𠂊用刀牛
室	宀至
底	广氏一
業	业半木
代	亻弋
孫	子丿糸
朱	𠂉木
亦	大八
須	彡頁
乾	十日十𠂉乙
工	工
詞	言㇕一口
刀	刀
波	氵皮
推	扌隹
落	艹氵夂口
節	竹艮卩
春	丰日
九	九
輸	車亼月刂
江	氵工
短	矢一口䒑
含	亼㇕口
千	千
徐	行亼木
秒	禾小丿
青	丰月
夜	亠亻夂丶
許	言午
吹	口欠
師	丿㠯一巾
板	木厂又
土	土
直	十目
公	八厶
苦	艹十口
秀	禾㇕丿
博	十甫寸
皮	皮
朝	十日十月
君	尹口
詩	言土寸
靜	丰月爪尹
利	禾刂
素	丰糸
立	立
存	一亻子
燒	火土土土兀
吾	二乂口
湯	氵日一勿
民	巳七
極	木丂口又一
命	亼口卩
忘	亡心
茶	艹人木
供	亻艹廾
案	宀女木
田	田
初	衤刀
品	口口口
抽	扌由
造	之牛口
抱	扌勹巳
野	田土予
綠	糸彑水
項	工頁
緊	臣又糸
故	十口攵
服	月卩又
盡	尹一火皿
百	一白
兵	斤廾
英	艹冂大
蘇	艹魚禾
般	舟殳
演	氵宀一由八
果	田木
保	亻口木
唐	广尹口
夏	頁夂
莫	艹日大
硬	石一日乂
寒	宀甘八冫
凡	凡
髮	長彡犬丿
言	言
題	日一止頁
防	阝方
街	行土土
距	足匚コ
挑	扌儿⺍
純	糸丿屮
