人	人入
糸勹午凵	绹綯
糸夂㐄	绛絳
糸匕匕	纰紕
糸衣口甘	𬙋纕
糸亠冂口	缟縞
糸亠口子	𬘯綧
糸衣口一	缞縗
糸立日心	𫄷繶
糸亠冂厶	缡縭
糸亠八乂	绞絞
糸亠冖巾	缔締
糸䒑八皿	缢縊
糸禾禾彐	缣縑
糸半卩	绻綣
糸弋弓	绨綈
糸宀由八	𬙂縯
糸冖儿	𬘘紞
糸又又又	缀綴
糸巳七日	缗緡
糸廴亻土	𬘩綎
糸习人彡	缪繆
糸巛田	缁緇
糸屮凵	绌絀
木刂丶見	榄𬄦
糸口八	织𥿗
木馬	杩榪
雨氵丿士	霪䨙
雨氵工一	霪䨙
魚人二厶	鲙𩷆
口口一戈	戰𡃹
艹廿冖巾	蔕𦷾
艹魚禾大	𡚡𫰅
魚由	鲉鮋
糸三田田	缰繮
牛口	告吿
金尸目	镅鎇
日耂	暑暏
氵宀皿丁	濘𬈿
厂車	厍厙
土火見	𧹦䚂
八刀又貝	𪬼𫎤
小冂口	尚尙
巴土八夂	𪩮𱜞
巴土儿夂	𪩮𱜞
木門一廾	𬂻𣛣
扌宀皿丁	擰𢴕
氵廿冖巾	滯𣻉
羊大乚木	𫅠𬙾
匕匕	比𫧇
月門十丿	𫆝𦟼
扌丸	执𢩾
山鬼	嵬㟴
口巾	吊𫩒
艮旡木	槩㮣
竹八田土	𨤰𫒂
𠂊小田土	𨤰𫒂
𠂉小田土	𨤰𫒂
口口一丂	咢㗁
鳥艹隹又	鹱鸌
金月穴工	𨭒𨭏
土尹口羊	𡑳𡑱
口艹夂口	𠺴𡀩
土厶衤甫	𠬖𠬕
子瓜鳥	𪂮𪂲
扌魚日	撸擼
口門木四	𪢌㘓
艹四冖又	蘉𦴋
矢一䒑艮	𥐇𬑶
氵艹冖巾	滞𤀐
亻户小丿	𪝹𫣪
扌日	抇𢪏
木豕	椓㭬
四土亼㇕	黔𪑑
厶人下	𠀳𫠪
口禾彐心	𡅯𪢖
习习立申	𫅮𫅲
金口王	锃鋥
糸亠口小	𫟅綡
車卜尸	轳𨋤
小門十丿	𡭬𡮣𡮥
車田夂口	𨎟𫏾
王廾心	𢚸𪫵
羊大日一	𦏄𫅝
王亠冖巾	𤧛𪼀
人水	汆氽
几二月刂	𩙌𬲂
几二月巛	𩙌𬲂
山𠂉乙	屹𪨣
口耳戈	戢𠺵
扌日甘衤	𢺖𱠻
長彡斤廾	鬓鬂
艹宀皿丁	薴𬞊
户艹廾	𢩉𫼌
艹木口	莕𫇿
士冖殳心	慤愨
扌匕匕	批𢪲
王廾十又	𪔠𲎚
田木𠂊貝	𣡙𣡚
田木刀貝	𣡙𣡚
日卜尸	𣆐𬀭
口艹木四	𪢠囒
日豕耂	𣌁𣌂
門月	𫔮閒
山兀	屼𡵉
日一丂	𣅙𣅘
金廿由八	𨱑鐄
扌业羊寸	𣝉𢷮
口艹口䒑	𠻼𡃻
𠂉木亼冊	𣘈𣜱𪳔
亼冊口貝	𡃋𫭕
爪	爪𫜵
几二之艮	𫗂𫗁
四厶匕匕	罷𠤩
火日甘衤	𪹷𬋟
口一夕刂	咧𡂲
一木頁圍	𬰠𩈘
大八鳥	鸾鵉𪁂
日广卜口	𣈔𣈘
山日冂厶	嵎𡺥
艹虎一丂	𧃷𬞲
一夕丿皿	殈𬠼
禾厶卜貝	𥢅𥢆
長彡人人	鬗𩯮
月日甘衤	𣎦𦣙
土巳	圯圮𡉏
貝刂寸	𫴯𡬷
金艹廾	𫟹鉷
氵魚日	澛瀂
禾禾立立	𫡁𫡂
門小	𡭜𡮉𨳒
几二刂心	𫗄𫗃
几二巛心	𫗄𫗃
門文キ	𫔳𫔤
户氏	𬇋𣱆
足艹人人	蹒𨅼
尸毛田凵	𡳒𤳰
尸毛由凵	𡳒𤳰
𠂊用八夂	𧤁𧤸
𠂊用儿夂	𧤁𧤸
尸丶耂阝	𡳤𡳢
女厶四貝	𡤓𪦲
厶口亻弋	𠳙𫢼
亻木一見	𧡊𫌠
爿心	𬌔𬌓
扌丿尸丶	𡱩𢭑
火火冖力	勞𤏪
人王亼冊	𠓹𠓻𫤍
魚卜尸	鲈𫙔
夕卜人土	𡎥𫮋
山亠口小	𡹞𡹡
口王	呈㕵
亻八之艮	𠑉𫤈
火門亠巾	𬊢𤐛
門十丿小	𡮤𫴼
一止冂口	𣦎𬆈
艹門木四	蘭𬞕
几言十	𧦔𪞴
人人夕卜	𡎢𡎦
口土卩又	𠼶𠾷
口口耳攵	嚴㘙
風之艮	𩘬𩘩
門一廾	𫔭開
土火耂見	𬦄𧺃
金魚日	镥鑥
金尸㇕口	锔鋦
户习㇕大	𦑗𬚇
矢一口䒑	短𥐍
丿皿卯	𧖰𧖱
木艹木四	𬅉欗
日行亼木	𣉹𬁊
日犭耂	𬁑𪱂
口皿	𠰘𠱄
木口欠	欶𣒱
小門心	𡮮𡮬
卜口刀	𠛤𪟂
刀鳥	鳭𠟀
犭宀皿丁	獰𤡛
田土火火	𨤮𨤵
木艹丶皿	𣞎𣠩
日十十月	𣋂𣊿
氵口貝	涢溳
亼月几二	𫖾𬲇
一巾	巿帀
日牛巾刂	𪰮㫼
木十日一	𬃱𬄮
氵風	沨渢
風	风風
山風	岚嵐
立風	飒颯
月儿⺍	朓脁
車一人人	辆輛
亻一人人	俩倆
日	日曰
户	户戶戸
士冖亞	壸壺壼
穴夫見	窥窺
扌夫夫車	撵攆
金夫	𫓧鈇
亞	亚亞亜
亞心	恶惡悪
口亞	哑啞唖
艹咼	莴萵
虫咼	蜗蝸
金咼	锅鍋
氵咼	涡渦
示咼	祸禍
女咼	娲媧
土咼	埚堝
咼	呙咼
穴咼	窝窩
申	电申
金口口	铝鋁
口口口	品𠴊
口口巴	唈𫶷
亞土	垩堊
女亞	娅婭
示一口田	福福
示申	神神
示羊	祥祥
木亞	桠椏
口亞心	𫫇噁
气亞	氩氬
一夕非一	殲殱
爲	为爲為
艹爲	𫇭蔿蒍
亻爲	伪僞偽
氵爲	沩潙溈
女爲	妫媯
扌爲	㧑撝
舟皿八夂	𥃑𪾝
糸糸	丝絲
糸糸鳥	鸶鷥
夕卩	夗夘
言丿屮	𧦖訰
厂日厶口	𠫆𪠗
禾八口儿	税稅
月八口儿	脱脫
虫八口儿	蜕蛻
八口儿	兑兌
心八口儿	悦悅
木八口儿	棁梲
亡心口月	𫡾𫺴
氵婁	溇漊
婁攵	数數
耒婁	耧耬
扌婁	搂摟
木婁	楼樓
口婁	喽嘍
骨婁	髅髏
竹婁	篓簍
亻婁	偻僂
金婁	镂鏤
婁	娄婁
尸行婁	屦屨
尸婁	屡屢
土婁	𪣻塿
扌婁攵	擞擻
艹婁	蒌蔞
艹婁攵	薮藪
虫婁	蝼螻
山婁	嵝嶁
目婁	䁖瞜
月婁	𦝼膢
疒婁	瘘瘻
穴婁	窭窶
衤婁	褛褸
糸婁	缕縷𫃵
長彡婁	𩯁𫙂
尸婁丨日	𡳵𱿈
糸尸婁	𫄄𫄎
婁車	𫏻𬧻
口婁攵	𪢒𡂡
牛婁	𬌥𤛠
亻目廾	俱倶
氵齊	济濟済
齊示	齋斎
齊	齐齊斉
扌齊	挤擠
雨齊	霁霽
足齊	跻躋
亻齊	侪儕
月齊	脐臍
齊刂	剂劑剤
艹齊	荠薺
虫齊	蛴蠐
齊非一	齑齏韲
阝齊	𬯀隮
鬼齊示	𩵃𩴚
方齊	𬀛𪯼
卯貝	貿贸
艹爿士	荘莊
爿士衣	装裝
爿犬	状狀
爿士	壮壯
爿女	妆妝
宀爿冖又	寝寢
廾	丌廾
一廾	开亓
冊	册冊
木冊	栅柵
冊刂	删刪
女冊	姗姍
竹亼刂心	𪬪𬕷
竹女又	笯𪥯
竹亼巛心	𪬪𬕷
爿	片爿
爿釆田	𤗹𬌌
尤	尤尢
糸黽	绳繩縄
穴土黽	竈竃
虫黽	蝇蠅蝿
黽	黾黽
氵黽	渑澠
一兀黽	鼋黿
口口一黽	鼍鼉
黽阝	𫑡鄳
亻黽	𠊟僶
日召儿	晚晩
金𠂊尹	铮錚
齒工㇕口	龉齬
言工㇕口	语語
金工㇕口	铻鋙
木木工㇕	𬃂𬂽
齒二乂口	龉齬
言二乂口	语語
金二乂口	铻鋙
木木二乂	𬃂𬂽
龜	龟龜亀
亻十目	值値
足	足疋
言足月	谞諝
足日一	疍𨀏
齒亼卩	齡齢
乚凵艮阝	鄉郷
馬由丂	骋騁
半巳	𫧟巻
金手戈	锇鋨
車弋工	轼軾
立立	並竝
匚コ𠂊貝	𢀲𱜝
匚コ刀貝	𢀲𱜝
