人	人入
金夂丰	锋鋒
金夕口	铭銘
金卯	铆鉚
金欠	钦欽
金勹丶	钓釣
金勹冫	钧鈞
金勹厶	钩鈎
金辛	锌鋅
金立日儿	镜鏡
金亠巾	铈鈰
金衣	铱銥
金亠冖方	镑鎊
金丶艮	锒鋃
金方	钫鈁
金广廿又	镀鍍
金門木四	镧鑭
金門	钔鍆
金广禾彐	镰鐮
金羊大	镁鎂
金八口儿	锐鋭銳
金立立日	镨鐠
金火	钬鈥
金火火	锬錟
金弋弓	锑銻
金儿⺍	铫銚
金宀一止	锭錠
金弋八	铋鉍
金尸十口	锯鋸
金皮	铍鈹
金艮	银銀
金尸匕	铌鈮
金又丶	钗釵
金召	𬬿鉊
金子皿	锰錳
金弓刂貝	镄鐨
金了	钌釕
金廴彐キ	键鍵
金女口	铷銣
金巛田	锱錙
金女	钕釹
金母	𬭁鉧
月龍	胧朧
犭貝	狈狽
風目廾	飓颶
風臼丨又	飕颼
風勹巳	飑颮
月月鳥	鹏鵬
九鳥	鸠鳩
犭言犬	狱獄
月半魚	䲢鰧
月半馬	腾騰
魚一日乂	鲠鯁
魚干八	鲆鮃
魚土土	鲑鮭
魚士口	鲒鮚
魚土八夂	鲮鯪
魚耂匕日	鳍鰭
魚丰日	䲠鰆
魚丰月	鲭鯖
魚耳又	鲰鯫
魚十艹貝	鲼鱝
魚廿乚木	鲽鰈
匕十鳥	鸨鴇
魚革力	鳓鰳
魚雨彐	鳕鱈
魚而	鲕鮞
匕頁	顷頃
魚𠂇月	鲔鮪
魚尤	鱿魷
魚厂屮欠	鳜鱖
魚之車	鲢鰱
魚卜口	鲇鮎
魚圍十口	鲴鯝
魚田土	鲤鯉
魚非	鲱鯡
魚日日	鲳鯧
魚日四又	鳗鰻
魚日匕匕	鲲鯤
魚日	鲁魯
魚田心	鳃鰓
魚日习习	鳎鰨
魚用口	鲷鯛
魚冂一口	鲖鮦
魚四水	鳏鰥
鳥山	岛島
𠂊貝	负負
𠂊用甲一	觶觯
魚禾	稣穌
匕禾頁	颖穎
魚禾火	鳅鰍
魚丿糸	鲧鯀
