人入
员呗員唄
己已巳
另叻
晕晖暈暉
束杏
景晾
群羣
吧邑
口〇
棘棗
只叭
峨峩
東杳
喜囍
郎郞
姬姫
行彳
峰峯
旭旮
辵辶
劍剣
旱旰
隱隠
穩穏
單嘽
徵徴
毗毘
锡錫
崖崕
嶋嶌
匚匸
陝陜
翌翋
熙煕
晃晄
旻旼
玉玊
仞仭
囊嚢
堯墝
岌岋
兔兎
菟莵
脧朘
瑟璱
朏胐
鹅鵝鵞
嵇嵆
柬柶
噪喿
劒剱劔
宦宧
岝岞
岑岒
岑岒
鍐鑁
靭靱
泵砅
易昒
峗峞
埒埓
咡咠
鬙鬠
杠杢
檎麶
茺萒
朐胊
嵜﨑
柤査
崳嵛
崳嵛
嵒喦
缐線
媭嬃
箚劄
庼廎
殼殻
楺楙
现現
说説說
项項
长長
标柰
横橫
龙龍
页頁
车車
暂暫
轨軌
软軟
齿齒歯
别別
吗嗎
败敗
内內
贩販
见見
赔賠
顺順
们們
领領
镇鎮
须須
钻鉆
铁鉄
铬鉻
胀脹
腻膩
鱼魚
鸟鳥
调調
诉訴
设設
该該
闻聞
闭閉
问問
间間
门門
测測
宽寛
军軍
马馬
颇頗
骗騙
张張
费費
红紅
纯純
细細
组組
统統
编編
顸頇
顶頂
鹉鵡
殒殞
颉頡
趱趲
辇輦
规規
顽頑
颊頬
珑瓏
顼頊
琏璉
璎瓔
责責
靓靚
玛瑪
拢攏
损
攒攢
扪捫
搁擱
搅撹
挥揮
苌萇
茏蘢
载載
莲蓮
颧顴
蓦驀
贳貰
颠顛
苋莧
茑蔦
蔼藹
蔺藺
荤葷
药葯
枨棖
颥顬
栊櫳
梿槤
贾賈
枧梘
橹櫓
赖賴
榈櫚
硕碩
砗硨
厕厠
砚硯
垄壟
砻礱
詟讋
赝贋
袭襲
码碼
轩軒
辕轅
贰貳
辄輒
连連
轧軋
辅輔
颐頤
轾輊
辑輯
匮匱
轵軹
轴軸
辊輥
辋輞
输輸
辁輇
堑塹
錾鏨
鸦鴉
较較
辙轍
辘轆
辚轔
辖轄
辗輾
轺軺
轫軔
顿頓
辎輜
龇齜
卤鹵
频頻
贞貞
蚬蜆
龄齡齢
赀貲
龌齷
蚂螞
贵貴
啧嘖
躏躪
咙嚨
啮嚙噛
颚顎
圆圓
郧鄖
躜躦
鹃鵑
噜嚕
鸣鳴
哟喲
题題
颗顆
昽曨
辉輝
辈輩
鸭鴨
𬀪晛
暖暧㬊
赏賞
赋賦
赇賕
帐帳
账賬
帻幘
财財
巅巔
赙賻
颛顓
眬矓
贿賄
鸯鴦
贼賊
崭嶄
贴貼
帧幀
贶貺
赐賜
𪾢睍
婴嬰
贝貝
赌賭
则則
赂賂
罚罰
赃賍
赠贈
赚賺
岂屺
笼籠
鹄鵠
笕筧
颓頽
赞贊
简簡
笃篤
伥倀
债債
偾僨
鸺鵂
贷貸
舆輿
侦偵
侧側
伣俔
赁賃
倾傾
货貨
储儲
鹪鷦
龛龕
饵餌
馍饃
饽餑
弑弒
饨飩
衔銜
馈饋
馄餛
饪飪
饫飫
饿餓
饰飾
饬飭
饷餉
馊餿
饭飯
馁餒
饥飢
馅餡
饮飲
馏餾
饱飽
颔頷
贪貪
饼餅
馐饈
馆館
蚀蝕
饲飼
颁頒
贫貧
颂頌
饴飴
钘鈃
钉釘
铐銬
锗鍺
铑銠
铸鋳
铒鉺
锖錆
钰鈺
钳鉗
针針
钴鈷
错錯
镬鑊
钵鉢
铺鋪
镭鐳
𬬸鉥
锛錛
铕銪
钛鈦
镣鐐
钹鈸
铚銍
𬬩釴
铖鋮
铽鋱
链鏈
钜鉅
钺鉞
钋釙
铟銦
锢錮
𫓶鋗
钽鉭
锂鋰
钊釗
锞錁
钿鈿
锁鎖
钞鈔
销銷
镤鏷
镗鏜
铜銅
钠鈉
钡鋇
钼鉬
锄鋤
锆鋯
锺鍾
锸鍤
铣銑
锹鍬
锈銹
锻鍛
锽鍠
钏釧
镍鎳
锥錐
铂鉑
锦錦
铨銓
𬬱釿
锉銼
钤鈐
铃鈴
锾鍰
钐釤
钣鈑
钒釩
铅鉛
锋鋒
铭銘
铆鉚
钦欽
钓釣
钧鈞
钩鈎
锌鋅
镜鏡
铈鈰
铱銥
镑鎊
锒鋃
钫鈁
镀鍍
镧鑭
钔鍆
镰鐮
镁鎂
锐鋭銳
镨鐠
钬鈥
锬錟
锑銻
铫銚
锭錠
铋鉍
锯鋸
铍鈹
银銀
铌鈮
钗釵
𬬿鉊
锰錳
镄鐨
钌釕
键鍵
铷銣
锱錙
钕釹
𬭁鉧
胧朧
狈狽
鹏鵬
鸠鳩
狱獄
䲢鰧
腾騰
鲠鯁
鲆鮃
鲑鮭
鲒鮚
鲮鯪
鳍鰭
䲠鰆
鲭鯖
鲰鯫
鲼鱝
鲽鰈
鸨鴇
鳓鰳
鳕鱈
鲕鮞
顷頃
鲔鮪鰖
鱿魷
鳜鱖
鲢鰱
鲇鮎
鲴鯝
鲤鯉
鲱鯡
鲳鯧
鳗鰻
鲲鯤
鲁魯
鳃鰓
鳎鰨
鲷鯛
鲖鮦
鳏鰥
岛島
负負
觶觯
稣穌
颖穎
鳅鰍
鲧鯀
鳇鰉
鲋鮒
鲵鯢
鳐鰩
凫鳧
鲍鮑
鲂魴
鲜鮮
鳟鱒
鳞鱗
鳝鱔
鲩鯇
鸵鴕
鲫鯽
鱽魛
鸳鴛
乌烏
枭梟
鲐鮐
𬣙訏
订訂
诃訶
评評
诖詿
诗詩
讧訌
诘詰
诸諸
诬誣
诔誄
请請
诹諏
讨討
计計
谋謀
谍諜
诺諾
诂詁
谎謊
谌諶
𬤇諲
谭譚
谏諫
诼諑
诙詼
试試
诓誆
诫誡
讶訝
谮譖
诚誠
讵詎
讣訃
谑謔
误誤
颤顫
赢贏
诽誹
课課
谩謾
谡謖
诮誚
谓謂
诅詛
诇詗
𫍣詷
讪訕
讷訥
许許
话話
诰誥
诛誅
颜顔
诱誘
诲誨
训訓
谁誰
谯譙
谕諭
诠詮
谶讖
诊診
诟詬
䜣訢
谣謡
诳誑
颃頏
诡詭
询詢
诣詣
谄諂
谐諧
诋詆
诤諍
谅諒
谙諳
谚諺
辩辯
谛諦
谤謗
访訪
斓斕
详詳
谥謚
谈談
谜謎
谦謙
诨諢
谴譴
谊誼
诧詫
诀訣
诐詖
诵誦
词詞
讯訊
诏詔
诞誕
讱訒
记記
诒詒
颏頦
辫辮
闺閨
闫閆
冯馮
癞癩
阑闌
库庫
阉閹
庞龐
阈閾
阃閫
闸閘
阊閶
闩閂
闰閏
闲閑
闽閩
訚誾
闯闖
阀閥
闪閃
阌閿
资資
阎閻
癣癬
闶閌
阂閡
阅閲閱
阔闊
闷悶
阕闋
阚闞
瘾癮
怅悵
鲝鯗
愤憤
懒懶
烦煩
惭慚
悯憫
焖燜
恽惲
鹈鵜
惯慣
鸿鴻
渍漬
泷瀧
渐漸
涟漣
浈湞
𬇙浿
渔漁
润潤
澜瀾
涧澗
浑渾
觉覚
涨漲
潍濰
赛賽
骞騫
宠寵
祯禎
遗遺
视視
鹤鶴
额額
祃禡
裤褲
𬴃騞
骤驟
骐騏
骑騎
驮馱
驱駆
骃駰
驶駛
𬴂騑
骒騍
骡騾
驵駔
𬳶駉
驷駟
驯馴
骓騅
骢驄
驳駁
驹駒
骆駱
骝騮
驻駐
骍騂
骧驤
骇駭
骥驥
骈駢
驼駝
骟騸
预預
驭馭
骉驫
骣驏
驰馳
骀駘
骏駿
陇隴
阵陣
贺賀
驾駕
纡紆
结結
绪緒
绫綾
纭紜
𬘬綪
绑綁
纣紂
绀紺
缂緙
绁紲
缚縛
𬘭綝
缃緗
缛縟
缅緬
缄緘
绖絰
绰綽
缉緝
𬘡絪
绢絹
绯緋
缦縵
纱紗
绡綃
缇緹
缧縲
绸綢
䌹絅
缨纓
纳納
纴紝
